date,number_of_strikes,center_point_geom
2016-08-21,27,POINT(-116.74 33.29)
2016-08-04,17,POINT(-103.04 38.21)
2016-08-01,6,POINT(-103.43 26.47)
2016-08-24,31,POINT(-99.51 30.36)
2016-08-09,2,POINT(-115.56 40.35)
2016-08-08,48,POINT(-96.27 35.81)
2016-08-08,35,POINT(-107.66 26.62)
2016-08-05,4,POINT(-80.62 21.64)
2016-08-24,23,POINT(-111.82 48.36)
2016-08-04,15,POINT(-89.31 42.92)
2016-08-22,42,POINT(-108.42 23.60)
2016-08-24,5,POINT(-100.10 32.92)
2016-08-29,50,POINT(-114.83 35.98)
2016-08-18,42,POINT(-110.80 36.76)
2016-08-03,3,POINT(-93.28 30.63)
2016-08-19,49,POINT(-104.12 42.26)
2016-08-14,2,POINT(-102.55 33.79)
2016-08-02,16,POINT(-116.89 29.39)
2016-08-01,13,POINT(-102.83 32.13)
2016-08-03,2,POINT(-94.39 28.69)
2016-08-07,40,POINT(-103.80 48.99)
2016-08-08,10,POINT(-113.13 48.43)
2016-08-17,16,POINT(-101.60 40.69)
2016-08-20,9,POINT(-105.53 33.10)
2016-08-01,31,POINT(-115.77 33.07)
2016-08-18,43,POINT(-103.98 22.36)
2016-08-07,8,POINT(-85.18 42.37)
2016-08-23,37,POINT(-111.14 43.37)
2016-08-21,14,POINT(-116.94 39.00)
2016-08-23,30,POINT(-98.78 25.82)
2016-08-18,45,POINT(-88.95 30.53)
2016-08-14,17,POINT(-81.67 39.36)
2016-08-08,50,POINT(-114.09 23.08)
2016-08-15,24,POINT(-109.76 25.20)
2016-08-19,11,POINT(-113.89 42.77)
2016-08-09,39,POINT(-116.99 48.54)
2016-08-26,39,POINT(-94.88 33.92)
2016-08-28,48,POINT(-97.45 37.38)
2016-08-01,46,POINT(-92.75 46.46)
2016-08-25,8,POINT(-94.28 49.60)
2016-08-26,50,POINT(-107.07 49.13)
2016-08-06,11,POINT(-107.35 33.19)
2016-08-23,20,POINT(-101.24 38.94)
2016-08-14,7,POINT(-88.15 37.74)
2016-08-11,38,POINT(-105.92 22.23)
2016-08-09,2,POINT(-101.53 21.13)
2016-08-05,20,POINT(-105.25 28.61)
2016-08-07,37,POINT(-94.21 49.32)
2016-08-31,44,POINT(-116.39 37.82)
2016-08-25,25,POINT(-104.62 37.41)
2016-08-11,26,POINT(-81.83 42.17)
2016-08-04,46,POINT(-118.36 47.27)
2016-08-03,13,POINT(-97.13 25.65)
2016-08-13,5,POINT(-95.80 35.04)
2016-08-04,38,POINT(-81.69 33.52)
2016-08-12,45,POINT(-87.56 45.12)
2016-08-28,41,POINT(-80.70 22.53)
2016-08-12,16,POINT(-94.15 21.17)
2016-08-20,7,POINT(-91.70 49.73)
2016-08-09,45,POINT(-99.04 38.29)
